Dataset Red Plot,
Eng Strain,Eng Stress(MPa)
0.003227266,38.57074489
0.003659604,19.17437237
0.00378924,68.831665
0.004333491,43.59511156
0.004417547,89.55630825
0.004552679,22.08287225
0.004479366,2.525059461
0.004760894,63.56016956
0.004854539,112.1972977
0.005379319,144.171389
0.005349155,85.78881018
0.005409076,20.35735242
0.005492157,49.40317377
0.005725389,118.7371139
0.005897115,62.26154169
0.006057465,168.5744411
0.006189278,142.8307853
0.006179544,93.45248742
0.006099052,20.61381277
0.006385668,42.65305469
0.006528403,197.050166
0.006743623,120.1395677
0.006694032,69.1549816
0.006914751,235.0271805
0.007044515,163.2776079
0.00724306,258.983135
0.007251858,96.92380499
0.007336979,143.1546738
0.006824364,48.74627736
0.007441835,188.2889107
0.007452422,281.52921
0.007399888,211.4456512
0.007585358,120.7323055
0.007404979,75.771513
0.00785907,234.6456647
0.007956085,300.7473857
0.008176976,327.8855858
0.008136808,153.9084946
0.008164465,183.282035
0.00787289,99.93761741
0.008293237,264.3870014
0.008323203,204.4808987
0.008438112,135.2928618
0.008575883,348.6929463
0.008760198,227.1499596
0.008803006,291.6042473
0.009004807,369.407531
0.009095737,319.7982957
0.009092204,185.8547284
0.00926555,267.2511662
0.009276566,237.913978
0.009261076,211.9538341
0.00889517,157.707526
0.009316933,405.8639434
0.009555777,345.9666139
0.009750818,292.302291
0.009914301,375.1630799
0.00998627,321.3806951
0.010021466,425.4062627
0.009992922,257.2018144
0.009784022,221.2653018
0.010311317,449.8367664
0.010307476,402.3592139
0.010543551,341.3427897
0.010577313,487.828646
0.010559319,287.9843891
0.010750005,372.4900222
0.010746475,311.8929311
0.010981825,462.5742708
0.011207767,517.0215306
0.011264784,443.1787829
0.011096224,420.1940393
0.011080426,398.6946535
0.011379288,344.1691564
0.011537413,489.1816202
0.011696605,385.9985797
0.011264887,320.3346995
0.011778881,467.248604
0.012101919,570.8615471
0.011994148,539.1269843
0.01198308,508.7189638
0.012047653,420.2637912
0.012193824,595.6315119
0.012248322,449.6298551
0.0119374,357.8582478
0.012395821,397.110277
0.012625853,622.4879427
0.012619126,488.5645432
0.012916723,546.6601098
0.012889022,424.931659
0.01302828,642.920417
0.013032386,592.1130372
0.012972049,568.5117346
0.013128186,512.4318012
0.01303484,450.930243
0.013538187,615.1945166
0.01345477,486.8567933
0.013738462,670.2360515
0.013893206,634.1729252
0.013847654,572.8580348
0.014033332,694.6229783
0.013995734,533.3185669
0.013566374,467.1051046
0.014048209,713.0176743
0.013904678,511.1683919
0.014440686,599.1821083
0.01476431,743.1433214
0.014690156,659.920194
0.014798003,630.010239
0.014739325,566.7297545
0.014856921,696.2593636
0.014984219,714.0129082
0.015371415,766.6015514
0.015175583,596.8487672
0.015640448,657.8256686
0.015547843,630.326095
0.015225397,616.7694949
0.015871742,785.9620663
0.015768655,735.280066
0.015761478,705.6875946
0.015960828,679.6987977
0.016318884,765.3775557
0.016352929,651.4986406
0.01662446,799.5717712
0.016610044,726.4072662
0.016710171,697.9484525
0.016702715,671.9950607
0.017080814,769.8519911
0.01719822,744.0548724
0.017513211,807.3170861
0.017503778,726.1852911
0.017680139,837.3229938
0.018005014,786.3370182
0.017937355,757.5352338
0.01850867,817.2867593
0.018369071,746.7924211
0.018537905,847.6507665
0.018853871,781.1155193
0.018530491,756.0144881
0.019376197,865.5081531
0.019328515,814.0152078
0.019493396,841.1903163
0.019794486,789.3733675
0.020236532,809.7909935
0.020292685,866.6437694
0.020464881,833.8191514
0.021160876,881.5099978
0.021128078,816.3783166
0.021290273,841.1911918
0.021543944,865.2610978
0.021965196,908.4930827
0.022083365,879.6087876
0.022094743,835.8330714
0.022438838,859.0600326
0.022937264,915.9689281
0.023060353,890.6080863
0.023146314,853.7320838
0.023476626,877.8209328
0.023485873,936.9548362
0.023961546,913.6203946
0.023940378,894.7167742
0.024018326,865.1787215
0.024376617,941.1412682
0.024549966,882.6584411
0.024957959,960.6131182
0.024889956,914.4660185
0.025173706,891.0564498
0.025652018,938.5379619
0.025801017,968.8216681
0.025889508,901.9583494
0.026535727,933.4352217
0.026701984,969.3351442
0.026857908,910.6223834
0.027394249,943.6420288
0.027519976,984.5340507
0.027732078,916.8278742
0.028163256,991.7182364
0.028247173,953.2182591
0.02832977,931.508638
0.028978985,993.9951998
0.029172057,965.6539855
0.029115418,939.388848
0.029309898,931.6734524
0.029839959,995.8206544
0.030071556,957.6921556
0.030473637,1016.728621
0.030462507,945.3584445
0.030786676,980.210548
0.031312082,1019.937758
0.031194476,961.2073117
0.031444184,997.7728636
0.031803763,973.8072617
0.032249436,1021.00272
0.032241731,996.6903449
0.032693531,1048.689719
0.032794665,974.742827
0.033083909,999.1872157
0.033191907,1030.136958
0.033497061,1050.622809
0.033899873,1064.533742
0.033951671,995.4975173
0.034268066,1022.924247
0.034442895,1046.168992
0.034897933,1059.37848
0.034939323,1003.552388
0.035131484,1020.354236
0.035729396,1051.942852
0.036065515,1021.715446
0.036264651,1071.545648
0.036530532,1010.109348
0.036665441,1044.704971
0.037039701,1022.915673
0.037079384,1070.098611
0.03763963,1015.595869
0.037747238,1045.741623
0.03781716,1025.326408
0.038014235,1078.052864
0.038586819,1048.376044
0.038905932,1077.470668
0.03881015,1018.979045
0.039485848,1050.733274
0.039802072,1087.684327
0.039822056,1031.280799
0.040472487,1059.156326
0.040663663,1090.11991
0.040635677,1033.829103
0.040644519,1018.989859
0.041492229,1070.508727
0.041513309,1033.175948
0.041951707,1089.742203
0.042369682,1055.231569
0.042423713,1022.658655
0.043220161,1078.920711
0.043241846,1041.417424
0.043887799,1056.193193
0.044268048,1031.943579
0.044613591,1090.255865
0.044775267,1061.262945
0.045056074,1031.818964
0.045550335,1083.776722
0.045709343,1063.188621
0.045955705,1030.011104
0.046455583,1079.176441
0.046583449,1054.802814
0.046991823,1027.130776
0.047306112,1081.720459
0.047741279,1069.992981
0.047635278,1036.489725
0.047935061,1018.175984
0.048548229,1066.923561
0.048719434,1031.574868
0.048775616,1087.654095
0.049505176,1061.903942
0.049589677,1030.617813
0.050224218,1080.246608
0.050461057,1028.677684
0.05069633,1055.534172
0.051141588,1081.043315
0.051420366,1026.528558
0.051542188,1052.344774
0.052057281,1079.171062
0.052228349,1027.091619
0.052587193,1050.463492
0.052988511,1070.726039
0.053102235,1086.204101
0.053398458,1023.891187
0.053511948,1043.561189
0.054024053,1060.72734
0.053884883,1078.291063
0.054208289,1020.962956
0.05462472,1037.712966
0.05487528,1065.453192
0.05530611,1019.453599
0.055578695,1037.336469
0.055772188,1070.605518
0.05609903,1055.760437
0.056111656,1008.128419
0.05638164,1032.048133
0.056876494,1066.514828
0.056969831,1006.531517
0.057228503,1031.734548
0.057759648,1059.63728
0.05790018,1009.266273
0.058159535,1037.400794
0.058627774,1065.612312
0.058809209,999.4935426
0.058935556,1030.319073
0.059631229,1056.209178
0.059715332,1003.459135
0.059814212,1034.049891
0.060552518,1046.272331
0.060539907,1000.723831
0.060890199,1027.465307
0.061173637,984.4432816
0.061598321,1041.733072
0.061721511,1011.724222
0.062040593,983.7026847
0.062426401,1038.194002
0.062683105,1011.490814
0.062948978,987.7788406
0.062906977,965.1313316
0.063394374,1031.545447
0.063812579,1004.02855
0.063866534,975.834658
0.063985787,960.3394781
0.064470592,1023.096006
0.064724118,1000.453801
0.06473215,961.8114575
0.065401524,1015.698979
0.065576011,954.7283728
0.065881636,977.0300245
0.066250492,1000.025312
0.066713174,964.0674285
0.066855183,943.9970418
0.067270342,1000.185994
0.067516878,968.1590244
0.067666895,936.7315578
0.068271514,990.1455628
0.06843637,959.0838112
0.068524592,932.4096172
0.069206512,989.6648026
0.069325932,955.0302402
0.069478503,931.2516833
0.070135038,991.9381674
0.070212054,961.9298413
0.070494487,941.3022886
0.070582383,921.8916529
0.071229897,981.4080668
0.071308107,955.1162459
0.071454322,925.336348
0.072158153,985.868592
0.072218063,948.5234125
0.072400374,967.7166374
0.0723057,922.9101095
0.073177721,977.0163635
0.073102321,947.7785726
0.073383456,922.9068818
0.074003736,951.3502124
0.074262351,977.9741245
0.074238882,913.5682224
0.074962581,944.3389374
0.075105684,975.3891277
0.075141117,916.8675792
0.075609682,963.2947489
0.075923984,939.2324753
0.076088865,913.9992864
0.076367542,968.1700557
0.076746827,942.2511465
0.076837505,907.7586791
0.07720695,964.3652465
0.077577699,928.010648
0.077868172,907.4579492
0.078086813,958.1809085
0.078718162,942.0259727
0.078778228,912.1335769
0.079533242,962.6055834
0.079467804,898.5271107
0.079619467,938.8462055
0.079760666,918.7851147
0.080376272,956.2890113
0.080402288,905.4856834
0.080675041,936.7239798
0.081263518,911.339413
0.081348474,968.4175554
0.08149473,932.0610562
0.081691101,947.7148929
0.082236775,906.9525285
0.08243471,931.1860654
0.082532098,971.4217513
0.082927902,942.8520956
0.083083696,907.3510462
0.083457413,934.016423
0.083570523,966.7237032
0.083957592,910.1750455
0.084117561,951.1037538
0.084886915,927.8162269
0.084740424,904.5295961
0.084887743,960.1209135
0.085757443,920.9298383
0.085634953,896.4067994
0.085815738,955.8257862
0.086597918,934.6047128
0.086559484,904.4683723
0.086432386,964.8411915
0.087463843,929.168445
0.087491943,953.7805201
0.087501866,893.1051669
0.088412252,917.2924679
0.088479573,947.3617964
0.088446207,889.5936057
0.089261762,917.2293612
0.089387456,948.2571675
0.089398903,891.139882
0.090262754,943.5797324
0.090307344,913.1089011
0.090291045,885.0275717
0.091039589,938.2846449
0.091174657,894.8598976
0.091295054,921.8790947
0.091851424,918.7617552
